id_matricula,fecha,observaciones
7919AEO,2011-10-22,No se especificaron observaciones
9519OEE,2011-10-23,"exhaust pipe, insufficient braking, cirulillo  of distribuitor failure"
4334OUU,2007-06-29,"improperly regulated lights, defective bulb"
0504IUE,2010-07-21,"worn tires, damaged license plate"
4785UUA,2011-08-21,No se especificaron observaciones
6648AEO,2010-08-30,exhaust pipe
8686IUU,2006-11-27,"spoiled engine, damaged chassis, accessories not allowed"
6882IUI,2007-03-30,spoiled engine
6206EOU,2010-06-20,"spoiled engine, defective bulb"
6734OUU,2010-07-11,"defective bulb, insufficient braking"
9445OEU,2011-01-29,"broken headlight, exhaust pipe"
5944EOE,2008-11-28,broken hand brake
0619IEO,2010-09-12,No se especificaron observaciones
5303EIO,2011-11-22,"excess smoke, windshield in poor condition, cirulillo  of distribuitor failure"
3784IAO,2010-12-29,"windshield in poor condition, accessories not allowed"
0504IUE,2010-07-21,broken hand brake
0861EUI,2010-07-21,No se especificaron observaciones
9507IIA,2011-03-26,No se especificaron observaciones
5823AEO,2007-05-28,"spoiled engine, excess smoke, minor faults"
4519AIU,2006-04-24,"minor faults, exhaust pipe"
8784IUI,2007-10-18,improperly regulated lights
8111EAA,2008-06-28,minor faults
4481IEE,2011-03-28,No se especificaron observaciones
2639AAA,2010-06-08,No se especificaron observaciones
8784IUI,2007-09-30,worn tires
5700IIE,2010-08-12,broken headlight
0062OEA,2010-07-19,accessories not allowed
6279OUE,2010-01-09,minor faults
1369IUA,2010-10-18,"minor faults, insufficient braking"
3422AEU,2011-10-05,No se especificaron observaciones
5862IOU,2010-07-22,No se especificaron observaciones
6493OEA,2007-08-31,insufficient braking
0098EUA,2011-06-23,"spoiled engine, broken headlight, accessories not allowed"
6206EOU,2010-07-09,"windshield in poor condition, insufficient braking"
6206EOU,2010-06-28,windshield in poor condition
4237EIO,2010-12-02,No se especificaron observaciones
6560AII,2011-03-19,"windshield in poor condition, broken hand brake"
5338IEI,2011-01-31,No se especificaron observaciones
0342OEO,2011-08-25,spoiled engine
7283OOE,2010-09-20,No se especificaron observaciones
0438IAO,2011-03-12,No se especificaron observaciones
0946UOU,2006-08-30,"minor faults, damaged license plate, exhaust pipe"
0861EUI,2010-07-21,No se especificaron observaciones
2877AIA,2008-02-22,minor faults
5938AOI,2009-03-30,No se especificaron observaciones
8784IUI,2007-10-20,"worn tires, damaged chassis"
2970EUI,2011-08-28,cirulillo  of distribuitor failure
